Title,Year,IMDB Rating,Duration
133. The Kid,1921,8.2,1h 8m
134. Green Book,2018,8.2,2h 10m
135. The Father,2020,8.2,1h 37m
136. Top Gun: Maverick,2022,8.2,2h 10m
137. Judgment at Nuremberg,1961,8.3,2h 59m
138. All About Eve,1950,8.2,2h 18m
139. The Truman Show,1998,8.2,1h 43m
140. There Will Be Blood,2007,8.2,2h 38m
141. Shutter Island,2010,8.2,2h 18m
142. Casino,1995,8.2,2h 58m
143. Ran,1985,8.2,2h 40m
144. Jurassic Park,1993,8.2,2h 7m
145. The Sixth Sense,1999,8.2,1h 47m
146. El laberinto del fauno,2006,8.2,1h 58m
147. Unforgiven,1992,8.2,2h 10m
148. A Beautiful Mind,2001,8.2,2h 15m
149. No Country for Old Men,2007,8.2,2h 2m
150. The Thing,1982,8.2,1h 49m
151. The Treasure of the Sierra Madre,1948,8.2,2h 6m
152. Kill Bill: Vol. 1,2003,8.2,1h 51m
153. Yôjinbô,1961,8.2,1h 50m
154. Monty Python and the Holy Grail,1975,8.2,1h 31m
155. The Great Escape,1963,8.2,2h 52m
156. Finding Nemo,2003,8.2,1h 40m
157. Rashômon,1950,8.2,1h 28m
158. Hauru no ugoku shiro,2004,8.2,1h 59m
159. Prisoners,2013,8.1,2h 33m
160. The Elephant Man,1980,8.2,2h 4m
161. Chinatown,1974,8.1,2h 10m
162. Dial M for Murder,1954,8.2,1h 45m
163. Gone with the Wind,1939,8.2,3h 58m
164. V for Vendetta,2005,8.2,2h 12m
"165. Lock, Stock and Two Smoking Barrels",1998,8.1,1h 47m
166. El secreto de sus ojos,2009,8.2,2h 9m
167. Raging Bull,1980,8.1,2h 9m
168. Inside Out,2015,8.1,1h 35m
"169. Three Billboards Outside Ebbing, Missouri",2017,8.1,1h 55m
170. Trainspotting,1996,8.1,1h 33m
171. The Bridge on the River Kwai,1957,8.1,2h 41m
172. Spider-Man: No Way Home,2021,8.2,2h 28m
173. Fargo,1996,8.1,1h 38m
174. Klaus,2019,8.2,1h 36m
175. Warrior,2011,8.1,2h 20m
176. Catch Me If You Can,2002,8.1,2h 21m
177. Gojira -1.0,2023,8.3,2h 4m
178. Gran Torino,2008,8.1,1h 56m
179. Tonari no Totoro,1988,8.1,1h 26m
180. Million Dollar Baby,2004,8.1,2h 12m
181. Harry Potter and the Deathly Hallows - Part 2,2011,8.1,2h 10m
182. Bacheha-Ye aseman,1997,8.2,1h 29m
183. 12 Years a Slave,2013,8.1,2h 14m
184. Blade Runner,1982,8.1,1h 57m
185. Before Sunrise,1995,8.1,1h 41m
186. The Grand Budapest Hotel,2014,8.1,1h 39m
187. Ben-Hur,1959,8.1,3h 32m
188. Barry Lyndon,1975,8.1,3h 5m
189. Gone Girl,2014,8.1,2h 29m
190. The Gold Rush,1925,8.1,1h 35m
191. Hacksaw Ridge,2016,8.1,2h 19m
192. In the Name of the Father,1993,8.1,2h 13m
193. Salinui chueok,2003,8.1,2h 11m
194. Dead Poets Society,1989,8.1,2h 8m
195. On the Waterfront,1954,8.1,1h 48m
196. The General,1926,8.1,1h 18m
197. The Deer Hunter,1978,8.1,3h 3m
198. Relatos salvajes,2014,8.1,2h 2m
199. Mad Max: Fury Road,2015,8.1,2h
200. Sherlock Jr.,1924,8.2,45m
201. Poor Things,2023,8.1,2h 21m
"202. Monsters, Inc.",2001,8.1,1h 32m
203. The Third Man,1949,8.1,1h 44m
204. Smultronstället,1957,8.1,1h 31m
205. Le salaire de la peur,1953,8.2,2h 11m
206. Jaws,1975,8.1,2h 4m
207. How to Train Your Dragon,2010,8.1,1h 38m
208. Mary and Max.,2009,8.1,1h 32m
209. Mr. Smith Goes to Washington,1939,8.1,2h 9m
210. Ford v Ferrari,2019,8.1,2h 32m
211. Ratatouille,2007,8.1,1h 51m
212. Det sjunde inseglet,1957,8.1,1h 36m
213. Tôkyô monogatari,1953,8.1,2h 16m
214. Room,2015,8.1,1h 58m
215. The Big Lebowski,1998,8.1,1h 57m
216. Rocky,1976,8.1,2h
217. Logan,2017,8.1,2h 17m
218. Spotlight,2015,8.1,2h 9m
219. Hotel Rwanda,2004,8.1,2h 1m
220. Platoon,1986,8.1,2h
221. The Terminator,1984,8.1,1h 47m
222. La passion de Jeanne d'Arc,1928,8.1,1h 50m
223. Before Sunset,2004,8.1,1h 20m
224. The Best Years of Our Lives,1946,8.1,2h 50m
225. La haine,1995,8.1,1h 38m
226. Jai Bhim,2021,8.7,2h 44m
227. The Exorcist,1973,8.1,2h 2m
228. Rush,2013,8.1,2h 3m
229. Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,2h 23m
230. Network,1976,8.1,2h 1m
231. Stand by Me,1986,8.1,1h 29m
232. The Wizard of Oz,1939,8.1,1h 42m
233. The Incredibles,2004,8.0,1h 55m
234. Hachi: A Dog's Tale,2009,8.1,1h 33m
235. Into the Wild,2007,8.1,2h 28m
236. Ah-ga-ssi,2016,8.1,2h 25m
237. Babam ve Oglum,2005,8.2,1h 52m
238. To Be or Not to Be,1942,8.1,1h 39m
239. The Sound of Music,1965,8.1,2h 52m
240. The Grapes of Wrath,1940,8.1,2h 9m
241. La battaglia di Algeri,1966,8.1,2h 1m
242. Groundhog Day,1993,8.0,1h 41m
243. Amores perros,2000,8.1,2h 34m
244. Rebecca,1940,8.1,2h 10m
245. Cool Hand Luke,1967,8.1,2h 7m
246. The Iron Giant,1999,8.1,1h 26m
247. The Help,2011,8.1,2h 26m
248. It Happened One Night,1934,8.1,1h 45m
249. Les quatre cents coups,1959,8.1,1h 39m
250. Dances with Wolves,1990,8.0,3h 1m
